4 ['Instantly', 'Instantly', 'Instantly', 'Instantly', 'Instantly']
5 ['Instantly', 'Instantly', 'Instantly', 'Instantly', 'Instantly']
6 ['Instantly', 'Instantly', 'Instantly', 'Instantly', '1.0 minutes']
7 ['Instantly', 'Instantly', 'Instantly', '5.3 minutes', '5.3 minutes']
8 ['Instantly', 'Instantly', '20.5 minutes', '41.5 minutes', '1.1 hours']
9 ['Instantly', '7.4 minutes', '2.5 hours', '4.8 hours', '9.1 hours']
10 ['Instantly', '33.1 minutes', '17.8 hours', '1.8 days', '3.3 days']
11 ['Instantly', '2.7 hours', '5.1 days', '1.9 weeks', '3.6 weeks']
12 ['Instantly', '14.4 hours', '5.2 weeks', '15.6 weeks', '28.1 weeks']
13 ['8.9 minutes', '3.1 days', '36.4 weeks', '2.4 years', '5.2 years']
14 ['27.9 minutes', '2.2 weeks', '5.5 years', '17.0 years', '40.0 years']
15 ['1.5 hours', '10.9 weeks', '39.0 years', '148.0 years', '310.0 years']
16 ['3.9 hours', '1.1 years', '280.0 years', '1.1k years', '3.1k years']
17 ['14.6 hours', '5.7 years', '2.0k years', '9.2k years', '20.0k years']
18 ['1.9 days', '28.0 years', '14.0k years', '72.0k years', '210.0k years']